id,set,index,source_sheet,view,clothed,facing_original,mirrored,H_px,scale,phi,theta,NF,spread,arm_spread,hand_f,hand_b,lift_f,lift_b,together
cE1_27,cE1,27,e1dcfb21-image.png,side,True,east,False,590,1.0169,0.75,0.5,F,0.27454242928452577,0.05465890183028395,0.007121464226290605,0.04753743760399334,0.0,0.0,True
cE1_28,cE1,28,e1dcfb21-image.png,side,True,east,False,590,1.0169,0.8742957062482897,0.7485914124965793,F,0.17632146581315739,0.08848080133555927,0.05342237061769617,0.035058430717863104,0.021702838063439065,0.0,False
cE1_29,cE1,29,e1dcfb21-image.png,side,True,east,False,587,1.0221,0.0,0.0,N,0.32114483753043876,0.12500000000000003,0.07666666666666669,0.04833333333333334,0.008333333333333333,0.0,False
cE1_30,cE1,30,e1dcfb21-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.3519032513884255,0.12271973466003319,0.07462686567164181,0.04809286898839138,0.006633499170812604,0.0,False
cE1_31,cE1,31,e1dcfb21-image.png,side,True,east,False,586,1.0239,0.0,0.0,N,0.3541743360606588,0.13,0.07666666666666666,0.053333333333333344,0.0,0.005,False
cE1_32,cE1,32,e1dcfb21-image.png,side,True,east,False,590,1.0169,0.1292940794492112,0.2585881588984224,N,0.1712291235654366,0.08499999999999998,0.026666666666666658,0.05833333333333332,0.0,0.03833333333333333,False
cE1_33,cE1,33,e1dcfb21-image.png,side,True,east,False,596,1.0067,0.25,0.5,N,0.20833333333333334,0.08850000000000034,0.02758333333333364,0.0609166666666667,0.0,0.0,True
cE1_34,cE1,34,e1dcfb21-image.png,side,True,east,False,597,1.005,0.25,0.5,N,0.26622296173044924,0.09983361064891846,0.04326123128119801,0.05657237936772046,0.0016638935108153079,0.0016638935108153079,True
cE1_35,cE1,35,e1dcfb21-image.png,side,True,east,False,590,1.0169,0.5,0.0,F,0.3190860222442998,0.12666666666666665,0.07166666666666666,0.05499999999999999,0.021666666666666667,0.0,False
cE2_00,cE2,0,7cd45a07-image.png,side,True,east,False,588,1.0204,0.5,0.0,F,0.33394027484143757,0.13833333333333334,0.08166666666666667,0.05666666666666667,0.021666666666666667,0.0,False
cE2_01,cE2,1,7cd45a07-image.png,side,True,east,False,585,1.0256,0.5,0.0,F,0.35463124699785337,0.1433333333333333,0.08499999999999999,0.05833333333333332,0.013333333333333334,0.0,False
cE2_02,cE2,2,7cd45a07-image.png,side,True,east,False,584,1.0274,0.5,0.0,F,0.2996615231379382,0.075,0.023333333333333345,0.05166666666666665,0.0,0.01,False
cE2_03,cE2,3,7cd45a07-image.png,side,True,east,False,586,1.0239,0.6291409238040611,0.2582818476081221,F,0.1731537276731429,0.048333333333333325,0.003333333333333327,0.045,0.0,0.02,False
